,Cell_ID,Start,End,Parent_ID
0,1,0,0,0
1,2,1,6,0
2,10,1,1,1
3,3,7,14,0
4,8,7,8,2
5,4,15,15,3
6,6,15,23,3
7,19,0,4,0
8,20,5,23,19
9,22,5,23,19
10,25,0,3,0
11,26,4,23,25
12,28,4,23,25
13,30,0,1,0
14,31,2,3,30
15,33,2,3,30
16,40,0,22,0
17,41,23,23,40
18,43,23,23,40
19,44,0,3,0
20,45,4,23,44
21,47,4,23,44
22,50,0,4,0
23,51,5,13,0
24,62,5,23,50
25,52,14,15,51
26,54,14,14,0
27,55,15,16,0
28,60,15,15,54
29,56,17,22,55
30,58,17,23,55
31,63,0,5,0
32,64,6,23,63
33,66,6,23,63
34,71,0,0,0
35,72,1,23,71
36,74,1,23,71
37,76,0,8,0
38,77,9,23,76
39,79,9,23,76
40,87,0,2,0
41,88,3,23,87
42,90,3,23,87
43,96,0,14,0
44,97,15,23,96
45,99,15,23,96
46,103,0,3,0
47,104,4,23,103
48,106,4,23,103
49,111,0,12,0
50,112,13,15,111
51,114,13,23,111
52,117,2,2,0
53,118,3,3,117
54,120,3,23,117
55,125,4,13,0
56,126,14,17,125
57,128,14,23,125
58,11,0,23,0
59,12,0,23,0
60,13,0,23,0
61,14,0,20,0
62,15,0,23,0
63,16,0,23,0
64,17,0,23,0
65,18,0,23,0
66,23,0,23,0
67,24,0,23,0
68,29,0,23,0
69,34,0,23,0
70,35,0,23,0
71,36,0,3,0
72,37,0,23,0
73,38,0,23,0
74,39,0,23,0
75,48,0,23,0
76,49,0,23,0
77,67,0,12,0
78,68,0,23,0
79,69,0,23,0
80,70,0,23,0
81,75,0,23,0
82,80,0,23,0
83,81,0,23,0
84,82,0,23,0
85,83,0,23,0
86,84,0,18,0
87,85,0,23,0
88,86,0,23,0
89,91,0,23,0
90,92,0,23,0
91,93,0,23,0
92,94,0,23,0
93,95,0,1,0
94,100,0,23,0
95,101,0,23,0
96,102,0,23,0
97,107,0,23,0
98,108,0,23,0
99,109,0,23,0
100,110,0,23,0
101,115,0,23,0
102,116,2,23,0
103,121,2,23,0
104,122,3,20,0
105,123,3,23,0
106,124,4,23,0
107,129,6,23,0
108,130,8,9,0
109,131,8,19,0
110,132,9,17,0
111,133,13,23,0
112,134,18,22,0
113,135,19,23,0
114,136,21,23,0
